"id","seq_no","info_type","communicator","recipient","frequency","method","direction","created_at"
"7b91fce5-daa9-474c-a15a-038f4c3a5e04","1","วิสัยทัศน์ พันธกิจ เป้าหมาย นโยบายบริหารงานบริการ นโยบายความมั่นคงปลอดภัยด้านสารสนเทศ นโยบายความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน นโยบายด้านความต่อเนื่องทางธุรกิจ","ผู้บริหารระดับสูง, QA, จป. วิชาชีพ","พนักงานใหม่","ตามรอบจัดปฐมนิเทศ","ประชุมปฐมนิเทศ","internal","2026-06-03T04:01:14.971486+00:00"
"9e7b3abf-9db5-4704-88dd-e180ad3abf4a","1","วิสัยทัศน์ พันธกิจ เป้าหมาย นโยบายบริหารงานบริการ","ผู้บริหารระดับสูง","หัวหน้าและผู้ช่วยหัวหน้า","อย่างน้อยปีละครั้ง","ประชุม","internal","2026-06-03T04:01:14.971486+00:00"
"6ae8135d-6edb-4d7d-a06c-87423fb8156c","2","ประวัติบริษัทและหลักการพื้นฐานของระบบมาตรฐาน","QA & SHE","พนักงานใหม่","ตามรอบจัดปฐมนิเทศ","ปฐมนิเทศ","internal","2026-06-03T04:01:14.971486+00:00"
"9fcd0876-986e-49ee-bf7a-752039dfd062","3","สถานะของ KPI และการปรับปรุงคุณภาพด้านบริการ ด้าน Information security ด้านความปลอดภัย อาชีวอนามัย และด้านความต่อเนื่องทางธุรกิจ","ผู้บริหาร, หัวหน้างาน, จป. วิชาชีพ","ทุกท่านที่เกี่ยวข้อง","ทุก 2 เดือน","ประชุม KPI และ O&M","internal","2026-06-03T04:01:14.971486+00:00"
"87bff46c-1300-4c14-b281-6f47ce271cc9","4","Quality Report (PD-27 Service level Management and Service Reporting)","Customer Relation","ทุกท่านที่เกี่ยวข้อง","เมื่อมีการร้องขอ หรืออย่างน้อยปีละครั้ง","อีเมล์ หรือ ประชุม","internal","2026-06-03T04:01:14.971486+00:00"
"347de54a-af4e-4c94-9148-28c027143dbd","5","บริการแบบใหม่หรือการเปลี่ยนแปลงที่มีผลกระทบมาก (PD-15 Change Management)","ผู้บริหาร, Network Planning, Business Development","ทุกท่านที่เกี่ยวข้อง","เมื่อมีบริการแบบใหม่หรือเปลี่ยนแปลงที่มีผลกระทบมาก","Road Show หรือการประชุม หรือ OJT","internal","2026-06-03T04:01:14.971486+00:00"
"03167f61-2a81-4568-b1b5-60c2604987fa","6","Customer Satisfaction และ Complaint","ผู้บริหาร, QA & SHE, Customer Relation","ทุกท่านที่เกี่ยวข้อง","ตามรอบสำรวจ หรือเมื่อได้รับแจ้ง Complaint","อีเมล์ หรือ ประชุม","internal","2026-06-03T04:01:14.971486+00:00"
"f4e8b3ab-676c-480a-a00c-b1ed267f40f8","7","Fault Summary Report (PD-25 การจัดการเหตุผิดปกติ และการร้องขอบริการจากลูกค้า)","Customer Relation","ทุกท่านที่เกี่ยวข้อง","เมื่อมี Outage","อีเมล์ หรือ ประชุม","internal","2026-06-03T04:01:14.971486+00:00"
"ee9422c2-c668-4e67-9630-613cd4719f88","8","กฎหมายที่เกี่ยวข้องกับบริษัท","Legal, จป. วิชาชีพ","ทุกท่านที่เกี่ยวข้อง","เมื่อมีกฎหมายใหม่","อีเมล์ หรือ ประชุม หรือ Memo","internal","2026-06-03T04:01:14.971486+00:00"
"940fbdc9-5b8a-4b8b-88b9-6e81a3e44ec3","9","รายงานการสอบสวนอุบัติเหตุและอุบัติการณ์","จป. วิชาชีพ","พนักงาน","เมื่อเกิดเหตุ","อีเมล์ หรือ ประชุม หรือ อบรม","internal","2026-06-03T04:01:14.971486+00:00"
"ec3834b0-be3e-43f7-92f4-082da29636bd","10","คู่มือความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน","จป. วิชาชีพ","พนักงาน","เมื่อเข้าปฏิบัติงานที่บริษัท","อบรม","internal","2026-06-03T04:01:14.971486+00:00"
"1993a9b1-08a2-4fcb-9dd8-bf6b4b020b02","11","กฎระเบียบความปลอดภัยของข้อมูลสารสนเทศ (P-02)","QA & SHE","พนักงาน","เมื่อมีพนักงานใหม่ หรือทบทวนความรู้","ปฐมนิเทศ, Sharepoint","internal","2026-06-03T04:01:14.971486+00:00"
"211bd0f5-13de-43a7-8336-2f7f1c4e3a5a","12","การให้ความรู้เกี่ยวกับ cyber security","ผู้ประสานงาน HR group, QA & SHE","พนักงาน","เมื่อมีพนักงานใหม่ หรือทบทวนความรู้","Training / E-learning","internal","2026-06-03T04:01:14.971486+00:00"
"b1204d0b-e288-4a3b-b637-4b49b1969086","13","นโยบายบริษัท และจรรยาบรรณทางธุรกิจ","QA & SHE","พนักงานทุกคน","เมื่อมีพนักงานใหม่ หรือทบทวนความรู้ปีละ 1 ครั้ง","ปฐมนิเทศ, Sharepoint","internal","2026-06-03T04:01:14.971486+00:00"
