"id","category_id","year","total_laws","compliant_count","non_compliant_count","review_round","created_at"
"c695106d-8576-4bea-985d-a7934ef59f65","LA","2024","34","34","3","ก.ค.-ก.ย.","2026-06-03T04:01:14.971486+00:00"
"b5dfdea8-e774-4cf9-9264-8a056c22374a","LB","2024","19","19","0","ก.ค.-ก.ย.","2026-06-03T04:01:14.971486+00:00"
"48a265de-a77c-42d6-aecd-3cbe20a26f0a","LC","2024","11","11","0","ก.ค.-ก.ย.","2026-06-03T04:01:14.971486+00:00"
"9db40b4a-54e9-43b8-a816-ab6acc3ed2c4","LD","2024","13","13","0","ก.ค.-ก.ย.","2026-06-03T04:01:14.971486+00:00"
"33285658-18bb-46e9-8b7c-20e83b5fa872","LE","2024","10","10","0","ก.ค.-ก.ย.","2026-06-03T04:01:14.971486+00:00"
"1b948b4a-9323-43fe-8c12-4bc689c07319","LF","2024","44","38","6","ก.ค.-ก.ย.","2026-06-03T04:01:14.971486+00:00"
"b19d05e2-9690-4335-9c61-122aec255ce4","LA","2025","37","80","2","ม.ค.-ธ.ค.","2026-06-03T04:01:14.971486+00:00"
"fbd2e1dc-8430-42ce-8306-9fa6327cde11","LB","2025","16","33","0","ม.ค.-ธ.ค.","2026-06-03T04:01:14.971486+00:00"
"14d12a09-a1b2-49dc-a9f9-1eba59821c5d","LC","2025","11","30","0","ม.ค.-ธ.ค.","2026-06-03T04:01:14.971486+00:00"
"6f1bda30-8422-4901-86fd-91cd4fc6031e","LD","2025","13","29","0","ม.ค.-ธ.ค.","2026-06-03T04:01:14.971486+00:00"
"7ef44273-42f9-4fb1-8480-7cc2b0cc5edd","LE","2025","10","44","0","ม.ค.-ธ.ค.","2026-06-03T04:01:14.971486+00:00"
"40a0490e-55f4-48be-9e22-6cf7ae3e73d6","LF","2025","45","59","0","ม.ค.-ธ.ค.","2026-06-03T04:01:14.971486+00:00"
"11c44ab4-9576-46fc-9242-a2e6037dd696","LA","2026","38","80","2","ม.ค.-มี.ค.","2026-06-03T04:01:14.971486+00:00"
"3ad069b9-a704-447c-9054-02c9e6930f94","LB","2026","16","33","0","ม.ค.-มี.ค.","2026-06-03T04:01:14.971486+00:00"
"474f90aa-cc16-422a-9785-33fdaed35299","LC","2026","11","30","0","ม.ค.-มี.ค.","2026-06-03T04:01:14.971486+00:00"
"381e2f73-dceb-4a70-b94f-1957cde16835","LD","2026","13","29","0","ม.ค.-มี.ค.","2026-06-03T04:01:14.971486+00:00"
"0538f9fb-59b8-404b-860f-31f5406299c3","LE","2026","10","44","0","ม.ค.-มี.ค.","2026-06-03T04:01:14.971486+00:00"
"7f579f38-5e04-4fde-aa87-4c994eebb05d","LF","2026","45","59","0","ม.ค.-มี.ค.","2026-06-03T04:01:14.971486+00:00"
