"id","action","law_id","law_code","law_name","detail","actor","created_at"
"1","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นสอดคล้อง: คุณสมบัติผู้ขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัยฯ และหลักเกณฑ์การขึ้นทะเบ",,"2026-06-08T04:36:26.143216+00:00"
"2","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นยังไม่สอดคล้อง: คุณสมบัติผู้ขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัยฯ และหลักเกณฑ์การขึ้นทะเบ",,"2026-06-08T04:36:26.157126+00:00"
"3","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นยังไม่สอดคล้อง: คุณสมบัติผู้ขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัยฯ และหลักเกณฑ์การขึ้นทะเบ",,"2026-06-08T05:27:42.790222+00:00"
"4","repeal","82","LD-012","ประกาศ เรื่อง กำหนดชนิดของโรคซึ่งเกิดขึ้นตามลักษณะหรือสภาพของงาน ประกาศ 15 ส.ค. 50","ยกเลิกตามทะเบียน F-259 (ขีดฆ่าสีแดง) แทนที่ด้วย LD-014",,"2026-06-08T05:52:50.335671+00:00"
"5","requirement","1","LA-001","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง แบบการแจ้งการดำเนินการหรือส่งเอกสารตามมาตรฐานในการบริหารและการจัดการด้านความปลอดภัยอาชีวอนามัย และสภาพแวดล้อมในการทำงานทางสื่ออิเล็กทรอนิกส์ พ.ศ.2553","ปรับเป็นยังไม่สอดคล้อง: 3. การแจ้งการดำเนินการหรือส่งเอกสารต่ออธิบดี ผู้ซึ่งอธิบดีมอบหมายหรือพนักงานตรวจ",,"2026-06-08T09:24:50.393981+00:00"
"6","requirement","1","LA-001","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง แบบการแจ้งการดำเนินการหรือส่งเอกสารตามมาตรฐานในการบริหารและการจัดการด้านความปลอดภัยอาชีวอนามัย และสภาพแวดล้อมในการทำงานทางสื่ออิเล็กทรอนิกส์ พ.ศ.2553","ปรับเป็นสอดคล้อง: 3. การแจ้งการดำเนินการหรือส่งเอกสารต่ออธิบดี ผู้ซึ่งอธิบดีมอบหมายหรือพนักงานตรวจ",,"2026-06-08T09:24:50.563488+00:00"
"7","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นสอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ",,"2026-06-10T09:38:15.528729+00:00"
"8","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นยังไม่สอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ",,"2026-06-10T09:38:19.09527+00:00"
"9","screen",,"LE-039","(ตัวอย่าง) ประกาศหลักเกณฑ์การฝึกอบรมความปลอดภัยในการทำงานบนที่สูง","คัดกรอง: เกี่ยวข้องกับองค์กร",,"2026-07-12T10:10:15.491638+00:00"
"10","verify",,"LE-039","","ผ่านการตรวจทาน AI (ดึงถูกฉบับ/สรุปถูกต้อง/ครบถ้วน)",,"2026-07-12T10:32:21.549636+00:00"
