"id","year","quarter","cat","added","repealed","created_at"
"1","2024","4","LA","2","0","2026-06-27T04:38:38.595181+00:00"
"2","2024","1","LB","1","2","2026-06-27T04:38:38.595181+00:00"
"3","2024","2","LB","1","0","2026-06-27T04:38:38.595181+00:00"
"4","2024","1","LF","6","0","2026-06-27T04:38:38.595181+00:00"
"5","2024","3","LF","1","0","2026-06-27T04:38:38.595181+00:00"
"6","2025","1","LA","2","0","2026-06-27T04:38:38.595181+00:00"
"7","2025","4","LA","1","0","2026-06-27T04:38:38.595181+00:00"
"8","2025","1","LB","1","1","2026-06-27T04:38:38.595181+00:00"
"9","2026","1","LA","2","0","2026-06-27T04:38:38.595181+00:00"
"10","2026","1","LB","1","1","2026-06-27T04:38:38.595181+00:00"
"11","2026","1","LF","2","0","2026-06-27T04:38:38.595181+00:00"
"12","2026","2","LA","5","0","2026-07-09T04:51:55.614664+00:00"
"13","2026","2","LF","2","0","2026-07-09T04:51:55.614664+00:00"
"15","2026","3","LA","1","0","2026-08-01T06:42:17.599999+00:00"
