"stage","code","label","sort"
"1","pending_search","รอค้นหา","1"
"1","searching","กำลังค้นหา/วิเคราะห์","2"
"1","analyzed","วิเคราะห์เสร็จ","3"
"2","pending_verify","รอทวนสอบ","1"
"2","verifying","กำลังทวนสอบ","2"
"2","verified","ทวนสอบผ่าน","3"
"3","pending_assign","รอมอบหมาย","1"
"3","assessing","กำลังประเมิน","2"
"3","assessed","ประเมินเสร็จ","3"
"4","pending_approve","รออนุมัติ","1"
"4","approved","อนุมัติแล้ว","2"
"5","scheduled","กำหนดรอบแล้ว","1"
"5","reviewing","กำลังทวนสอบ","2"
"5","reviewed","ทวนสอบแล้ว","3"
"5","overdue","เกินกำหนด","4"
