"id","seq_no","document_name","submission_timeline","submission_location","responsible_unit","submission_format","retention_period","category","created_at"
"ab43f715-8e65-42d1-9cfe-66587f30a84d","1.1","แบบแจ้งชื่อเพื่อขึ้นทะเบียนของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับวิชาชีพ","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","สวัสดิการและคุ้มครองแรงงานจังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน","2026-06-03T04:01:14.971486+00:00"
"50fcd232-a2a3-4f48-89f4-0972891fab61","1.2","แบบแจ้งชื่อเพื่อขึ้นทะเบียนของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับหัวหน้างาน","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","สวัสดิการและคุ้มครองแรงงานจังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน","2026-06-03T04:01:14.971486+00:00"
"3872ab87-d3dd-41a5-8e8d-8cbab97f6239","1.3","แบบแจ้งชื่อเพื่อขึ้นทะเบียนของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับบริหาร","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","สวัสดิการและคุ้มครองแรงงานจังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน","2026-06-03T04:01:14.971486+00:00"
"e7c994d0-e985-43ad-8e46-817eb05bd922","1.4","แบบแจ้งชื่อเพื่อขึ้นทะเบียนของคณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน (คปอ.)","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","สวัสดิการและคุ้มครองแรงงานจังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","2 ปี นับจากพ้นวาระ","การบริหารจัดการความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน","2026-06-03T04:01:14.971486+00:00"
"c01bd51f-3078-4579-97e9-6bf549670a7a","1.5","จป.(ว) รายงานผลการดำเนินงานของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับวิชาชีพ","ปีละ 2 ครั้ง: ครั้งแรกภายใน 30 วันนับแต่ 30 มิ.ย., ครั้งที่สองภายใน 30 วันนับแต่ 30 ธ.ค.","สวัสดิการและคุ้มครองแรงงานจังหวัดนนทบุรี และ สำนักประกันสังคม","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน","2026-06-03T04:01:14.971486+00:00"
"796fc38e-8f97-47f6-a778-daef33a8319f","2.1","รายงานการตรวจวัดและวิเคราะห์สภาวะการทำงานเกี่ยวกับความร้อน แสงสว่าง และเสียง","ภายใน 30 วันนับแต่วันที่ตรวจวัด","สวัสดิการและคุ้มครองแรงงาน จังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การตรวจวัดสภาพแวดล้อมในการทำงาน แสง/เสียง/ความร้อน","2026-06-03T04:01:14.971486+00:00"
"ccc080a6-eb14-4322-9598-96709887b53e","3.1","แบบแจ้งการเกิดอุบัติภัยร้ายแรง หรือการประสบอันตรายจากการทำงาน (สปร.5)","แจ้งภายใน 7 วัน","สวัสดิการและคุ้มครองแรงงาน จังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","2 ปี","การเกิดอุบัติเหตุร้ายแรง","2026-06-03T04:01:14.971486+00:00"
"06ea6dd6-6ee9-4fa1-84d1-60b91f723d1d","3.2","แบบแจ้งการประสบอันตราย เจ็บป่วย หรือสูญหาย และคำร้องขอรับเงินทดแทน (กท.16, กท.16/1, กท.44)","แจ้งภายใน 15 วัน","สวัสดิการและคุ้มครองแรงงาน จังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร","2 ปี","การเกิดอุบัติเหตุร้ายแรง","2026-06-03T04:01:14.971486+00:00"
"2e1b8a4a-b2b6-4a75-b123-df383ae25830","4.1","แบบรายงานผลการฝึกซ้อมดับเพลิง และฝึกซ้อมหนีไฟ","ปีละ 1 ครั้ง แล้วยื่นภายใน 30 วันนับแต่วันเสร็จสิ้นการฝึกซ้อม","สวัสดิการและคุ้มครองแรงงาน จังหวัดนนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การอบรมดับเพลิงขั้นต้น และการฝึกซ้อมอพยพหนีไฟ","2026-06-03T04:01:14.971486+00:00"
"5abb0115-8aa4-464c-b929-769a92a47108","5.1","เอกสารรับรองความปลอดภัยของระบบและอุปกรณ์ไฟฟ้า","ปีละ 1 ครั้ง","สวัสดิการและคุ้มครองแรงงาน จังหวัดนนทบุรี","เจ้าของพื้นที่ และ จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การตรวจสอบระบบไฟฟ้า","2026-06-03T04:01:14.971486+00:00"
