"id","category_id","ministry","title","summary","announced_date","effective_date","responsible_unit","compliance_status","check_frequency","reporting_channel","related_documents","remarks","is_cancelled","last_review_date","review_period","year","created_at","updated_at"
"LA-001","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง แบบการแจ้งการดำเนินการหรือส่งเอกสารตามมาตรฐานในการบริหารและการจัดการด้านความปลอดภัยอาชีวอนามัย และสภาพแวดล้อมในการทำงานทางสื่ออิเล็กทรอนิกส์ พ.ศ.2553","การแจ้งการดำเนินการหรือส่งเอกสารต่ออธิบดี นายจ้างอาจแจ้งหรือส่งทางสื่ออิเล็กทรอนิกส์ ครอบคลุมแบบแจ้งรายละเอียดสารเคมีอันตราย แบบรายงานการฝึกซ้อมดับเพลิงและฝึกซ้อมหนีไฟ แบบรายงานผลการตรวจสุขภาพ","17 มีนาคม 2553","18 มีนาคม 2553","Safety","C","ตามกฎหมายกำหนด","ระบุไว้ใน PD การสื่อสาร",,"บ.จัสเทล มีการขอ username & Password โดย HR","false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-002","LA","กระทรวงแรงงาน","พระราชบัญญัติ ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2554","มาตรา 6: นายจ้างมีหน้าที่จัดและดูแลสถานประกอบกิจการให้มีสภาพการทำงานที่ปลอดภัย, มาตรา 8: บริหารจัดการความปลอดภัยตามมาตรฐานกฎกระทรวง, มาตรา 13: จัดให้มี จป. และขึ้นทะเบียน, มาตรา 16: ฝึกอบรมความปลอดภัย","2554","2554","จป.ทุกระดับ / Safety","C","สรุปเดือนละ 1 ครั้ง / ทบทวน 1 ครั้ง/ปี","ไซต์สื่อสาร Jastel Safety","F-255 แบบตรวจความปลอดภัย, นโยบายความปลอดภัย",,"false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-003","LA","กระทรวงสาธารณสุข","ประกาศคณะกรรมการการแพทย์ฉุกเฉิน เรื่อง กำหนดให้การใช้เครื่องฟื้นคืนคลื่นหัวใจด้วยไฟฟ้าแบบอัตโนมัติเป็นการปฐมพยาบาล พ.ศ. 2558","กำหนดให้การใช้เครื่อง AED (Automated External Defibrillator) เป็นการปฐมพยาบาล","22 เมษายน 2558","22 เมษายน 2558","Safety, Corporate Affair","C","ทุกรอบการประเมินกฎหมาย",,,"Office จัสเทล ชั้น 7 มีเครื่อง AED บริเวณหน้าห้องผู้บริหาร","false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-004","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง กำหนดแบบและวิธีการแจ้งการเกิดอุบัติภัยร้ายแรง หรือลูกจ้างประสบอันตรายจากการทำงาน ทางสื่ออิเล็กทรอนิกส์","การแจ้งการเกิดอุบัติภัยร้ายแรง หรือลูกจ้างประสบอันตรายจากการทำงาน นายจ้างอาจดำเนินการแจ้งหรือส่งโดยใช้แบบการแจ้งทางสื่ออิเล็กทรอนิกส์","2011-10-19","2011-10-19","Safety","C","เมื่อเกิดอุบัติเหตุร้ายแรง","สวัสดิการและคุ้มครองแรงงาน",,"เมื่อเกิดอุบัติภัยสามารถส่งรายงานได้ทั้งทางอิเล็กทรอนิกส์และส่งที่สำนักงาน","false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-005","LA","กระทรวงสาธารณสุข","กฎกระทรวง ควบคุมสถานประกอบกิจการที่เป็นอันตรายต่อสุขภาพ พ.ศ. 2560","อาคารต้องมีความมั่นคงแข็งแรง มีทางหนีไฟ บันไดหนีไฟ ทางออกฉุกเฉิน มีแสงสว่างเพียงพอ มีป้ายแสดงชัดเจน และมีมาตรการความปลอดภัยในการทำงาน","2017","2017","Premium Asset, SHE","C","ทุกรอบการประเมินกฎหมาย",,,,"false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-006","LA","กระทรวงแรงงาน","กฎกระทรวง กำหนดมาตรฐานเกี่ยวกับระบบการจัดการด้านความปลอดภัย พ.ศ. 2565","สถานประกอบกิจการที่มีลูกจ้าง 50 คนขึ้นไปต้องจัดให้มีระบบการจัดการความปลอดภัย ประกอบด้วย: 1.นโยบายความปลอดภัย 2.การจัดองค์กร 3.แผนงาน 4.การประเมินผล 5.การปรับปรุงพัฒนา","11 เมษายน 2565","11 มิถุนายน 2565","Safety, คปอ., ISO 45001","C","ทุกรอบการประเมินกฎหมาย",,,"บริษัทจัสเทล ดำเนินการขอรับรองระบบ ISO 45001","false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-007","LA","กระทรวงแรงงาน","กฎกระทรวง การจัดให้มีเจ้าหน้าที่ความปลอดภัยในการทำงาน บุคลากร หน่วยงาน หรือคณะบุคคลเพื่อดำเนินการด้านความปลอดภัย พ.ศ. 2565","ข้อ 8: จป.ระดับหัวหน้างานต้องเป็นลูกจ้างระดับหัวหน้างาน, ข้อ 25: สถานประกอบกิจการที่มีลูกจ้าง 50 คนขึ้นไปต้องมีคณะกรรมการความปลอดภัย (คปอ.), ข้อ 42: ต้องนำรายชื่อ จป.ไปขึ้นทะเบียนภายใน 30 วัน","17 มิถุนายน 2565","17 สิงหาคม 2565","Safety","C","Annual",,"คู่มือว่าด้วยความปลอดภัย, ประกาศแต่งตั้ง จป.ทุกระดับ",,"false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-009","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง การแจ้งการขึ้นทะเบียน การพ้นจากตำแหน่งหรือพ้นจากหน้าที่ของเจ้าหน้าที่ความปลอดภัยในการทำงาน","กำหนดให้นายจ้างต้องนำรายชื่อ จป. ทุกระดับ แจ้งการขึ้นทะเบียนหรือพ้นจากตำแหน่งต่อกรมสวัสดิการและคุ้มครองแรงงานภายใน 30 วัน","10 ตุลาคม 2565","10 ตุลาคม 2565","SHE","C","ทุกรอบการประเมินกฎหมาย","กรมสวัสดิการและคุ้มครองแรงงาน","แบบคำขอการแจ้งขึ้นทะเบียน จป.",,"false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-010","LA","กระทรวงแรงงาน","ประกาศกรมสวัสดิการและคุ้มครองแรงงาน เรื่อง การฝึกอบรมหรือการพัฒนาความรู้ของเจ้าหน้าที่ความปลอดภัยในการทำงาน ระดับเทคนิค ระดับเทคนิคขั้นสูง และระดับวิชาชีพ","นายจ้างต้องจัดให้ จป. ระดับเทคนิค, เทคนิคขั้นสูง, วิชาชีพ ได้รับการฝึกอบรมหรือพัฒนาความรู้เพิ่มเติมปีละไม่น้อยกว่า 12 ชั่วโมง","26 ตุลาคม 2565","27 ตุลาคม 2565","SHE","C","ทุกรอบการประเมินกฎหมาย","กรมสวัสดิการและคุ้มครองแรงงาน","แบบแจ้งการฝึกอบรม",,"false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
"LA-019","LA",,"พระราชบัญญัติเงินทดแทน (ฉบับที่ 2) พ.ศ. 2561","มาตรา 18: เมื่อลูกจ้างประสบอันตราย เจ็บป่วย หรือสูญหาย ให้นายจ้างจ่ายค่าทดแทนเป็นรายเดือนให้แก่ลูกจ้างหรือผู้มีสิทธิ","2561","2561","Safety, OFP, HR","C","เมื่อเกิดอุบัติเหตุร้ายแรง","สวัสดิการและคุ้มครองแรงงาน",,,"false",,,,"2026-06-03T04:01:14.971486+00:00","2026-06-03T04:01:14.971486+00:00"
