"id","scope","topic","sender","receiver","frequency","method","scheduled_date","recurrence_type","next_scheduled_date","notify_days_before","assigned_to","file_reference","last_sent_at"
"1","internal","1. วิสัยทัศน์ พันธกิจ เป้าหมาย นโยบายบริหารงานบริการ นโยบายความมั่นคงปลอดภัยสารสนเทศ นโยบายความปลอดภัย อาชีวอนามัยฯ นโยบายความต่อเนื่องทางธุรกิจ","ผู้บริหารระดับสูง / QA / จป.วิชาชีพ","พนักงานใหม่","ตามรอบจัดปฐมนิเทศ","ประชุมปฐมนิเทศ",,"annually",,"7",,,
"2","internal","1. วิสัยทัศน์ พันธกิจ เป้าหมาย นโยบายต่างๆ ขององค์กร","ผู้บริหารระดับสูง","หัวหน้าและผู้ช่วยหัวหน้า","อย่างน้อยปีละครั้ง","ประชุม",,"annually",,"7",,,
"3","internal","1. วิสัยทัศน์ พันธกิจ เป้าหมาย นโยบายต่างๆ ขององค์กร","หัวหน้างาน / จป.วิชาชีพ / QA & SHE","พนักงาน","อย่างน้อยปีละครั้ง","ประชุม",,"annually",,"7",,,
"4","internal","2. ประวัติบริษัทและหลักการพื้นฐานของระบบมาตรฐาน","QA & SHE","พนักงานใหม่","ตามรอบจัดปฐมนิเทศ","ปฐมนิเทศ",,"annually",,"7",,,
"5","internal","3. สถานะ KPI และการปรับปรุงคุณภาพด้านบริการ / Information Security / ความปลอดภัยฯ / ความต่อเนื่องทางธุรกิจ","ผู้บริหาร / หัวหน้างาน / จป.วิชาชีพ","ทุกท่านที่เกี่ยวข้อง","ทุก 2 เดือน","ประชุม KPI และ O&M",,"annually",,"7",,,
"6","internal","4. Quality Report (PD-27 Service Level Management & Reporting)","Customer Relation","ทุกท่านที่เกี่ยวข้อง","เมื่อร้องขอ หรือปีละครั้ง","อีเมล หรือ ประชุม",,"annually",,"7",,,
"7","internal","5. บริการแบบใหม่หรือการเปลี่ยนแปลงที่มีผลกระทบมาก (PD-15 Change Management)","ผู้บริหาร / Network Planning / Business Development","ทุกท่านที่เกี่ยวข้อง","เมื่อมีบริการใหม่/เปลี่ยนแปลงมาก","Road Show / ประชุม / OJT",,"annually",,"7",,,
"8","internal","6. Customer Satisfaction และ Complaint","ผู้บริหาร / QA & SHE / Customer Relation","ทุกท่านที่เกี่ยวข้อง","ตามรอบสำรวจ หรือเมื่อได้รับ Complaint","อีเมล หรือ ประชุม",,"annually",,"7",,,
"9","internal","7. Fault Summary Report (PD-25 การจัดการเหตุผิดปกติ)","Customer Relation","ทุกท่านที่เกี่ยวข้อง","เมื่อมี Outage","อีเมล หรือ ประชุม",,"annually",,"7",,,
"10","internal","8. กฎหมายที่เกี่ยวข้องกับบริษัท","Legal / จป.วิชาชีพ","ทุกท่านที่เกี่ยวข้อง","เมื่อมีกฎหมายใหม่","อีเมล / ประชุม / Memo",,"annually",,"7",,,
"11","internal","9. รายงานการสอบสวนอุบัติเหตุและอุบัติการณ์","จป.วิชาชีพ","พนักงาน","เมื่อเกิดเหตุ","อีเมล / ประชุม / อบรม",,"annually",,"7",,,
"12","internal","10. คู่มือความปลอดภัย อาชีวอนามัยฯ สำหรับลูกจ้างทั่วไป/ใหม่/ผู้รับเหมา","จป.วิชาชีพ","พนักงาน","เมื่อเข้าปฏิบัติงาน","อบรม",,"annually",,"7",,,
"13","internal","11. กฎระเบียบความปลอดภัยของข้อมูลสารสนเทศ (P-02)","QA & SHE","พนักงาน","เมื่อมีพนักงานใหม่/ทบทวน","ปฐมนิเทศ / SharePoint",,"annually",,"7",,,
"14","internal","12. การให้ความรู้เกี่ยวกับ Cyber Security","HR Group / QA & SHE","พนักงาน","เมื่อมีพนักงานใหม่/ทบทวน","Training / E-learning",,"annually",,"7",,,
"15","internal","13. นโยบายบริษัทและจรรยาบรรณทางธุรกิจ","QA & SHE","พนักงานทุกคน","เมื่อมีพนักงานใหม่ / ปีละครั้ง","ปฐมนิเทศ / SharePoint",,"annually",,"7",,,
"16","external","1. การจัดทำสัญญา/ข้อตกลงกับผู้ให้บริการ (PD-53)","จัดซื้อ/จัดจ้าง หรือ Contract Management","ผู้ขาย / ผู้ให้บริการ","เมื่อตกลงจัดซื้อ/จัดจ้าง","เอกสารสัญญา / ข้อตกลง",,"annually",,"7",,,
"17","external","2. การจัดทำสัญญา/ข้อตกลงสำหรับลูกค้า (PD-37)","Marketing & Sales หรือ Contract Management","ลูกค้า","เมื่อตกลงซื้อขาย","เอกสารสัญญา / ข้อตกลง",,"annually",,"7",,,
"18","external","3. Quality Report (PD-27)","Customer Relation","ลูกค้า","เมื่อร้องขอ หรือปีละครั้ง","อีเมล หรือ ประชุม",,"annually",,"7",,,
"19","external","4. บริการแบบใหม่หรือการเปลี่ยนแปลงที่มีผลกระทบมาก (PD-15)","Marketing & Sales / Customer Relation","ลูกค้า","เมื่อมีบริการใหม่/เปลี่ยนแปลงมาก","Road Show / ประชุม / OJT",,"annually",,"7",,,
"20","external","5. Fault Summary Report (PD-25)","Customer Relation","ลูกค้า","เมื่อมี Outage","อีเมล หรือ ประชุม",,"annually",,"7",,,
"21","external","6. คู่มือความปลอดภัย อาชีวอนามัยฯ สำหรับผู้รับเหมา/ผู้ขาย","จป.วิชาชีพ","ผู้รับเหมา / ผู้ขาย","เมื่อมีงาน Operation (CR)","Mail / Link online",,"annually",,"7",,,
"22","external","7. การเกิด Cyber Attack — แจ้งหน่วยงานกำกับดูแล","ผู้บริหาร","หน่วยงานกำกับดูแล","เมื่อเกิดเหตุ","โทรศัพท์ / E-service / เอกสาร",,"annually",,"7",,,
"23","external","7. การเกิด Cyber Attack — แจ้งลูกค้า","Customer Relation","ลูกค้า","เมื่อเกิดเหตุ","โทรศัพท์ / E-mail",,"annually",,"7",,,
"24","external","7. การเกิด Cyber Attack — แจ้งหน่วยงานกฎหมาย/ตำรวจไซเบอร์","Legal","ตำรวจ / ตำรวจไซเบอร์ / หน่วยงานกฎหมาย","เมื่อเกิดเหตุ","โทรศัพท์ / E-service / เอกสาร",,"annually",,"7",,,
"25","external","7. การเกิด Cyber Attack — แจ้ง DPO","Jastel DPO","DPO JTS Group","เมื่อเกิดเหตุ","โทรศัพท์ / E-mail",,"annually",,"7",,,
"26","external","8. Daily/Monthly Report สำหรับบริการ CSOC","CSOC","ลูกค้า","เมื่อพบ Incident รายวัน/สรุปรายเดือน","อีเมล หรือ ประชุม",,"annually",,"7",,,
