"id","year","month","checked","checked_at","created_at"
"3","2026","3","true","2026-06-19T09:56:28.196+00:00","2026-06-06T13:08:33.5091+00:00"
"4","2026","4","true","2026-06-19T09:56:28.695+00:00","2026-06-06T13:08:34.151315+00:00"
"5","2026","5","true","2026-06-19T09:56:29.196+00:00","2026-06-06T13:08:34.735616+00:00"
"1","2026","1","true","2026-06-27T05:51:11.527+00:00","2026-06-06T13:08:33.303687+00:00"
"2","2026","2","true","2026-06-27T05:51:11.936+00:00","2026-06-06T13:08:33.303688+00:00"
"78","2026","12","false",,"2026-06-07T13:31:03.804947+00:00"
"76","2026","10","false",,"2026-06-07T13:31:02.58801+00:00"
"77","2026","11","false",,"2026-06-07T13:31:03.385857+00:00"
"37","2025","2","false",,"2026-06-07T06:38:16.491857+00:00"
"35","2025","1","true","2026-06-07T07:07:48.85+00:00","2026-06-07T06:38:16.081458+00:00"
"20","2026","9","false",,"2026-06-07T03:23:12.474316+00:00"
"6","2026","6","true","2026-07-12T15:48:41.313+00:00","2026-06-06T13:08:35.225075+00:00"
"19","2026","8","false",,"2026-06-07T03:23:11.992316+00:00"
"21","2026","7","true","2026-08-09T11:10:54.089+00:00","2026-06-07T03:23:12.993282+00:00"
