"id","name","active","created_at"
"1","Safety","true","2026-07-12T05:29:48.399683+00:00"
"2","HR","true","2026-07-12T05:29:48.399683+00:00"
"3","QA & Training","true","2026-07-12T05:29:48.399683+00:00"
"4","Power","true","2026-07-12T05:29:48.399683+00:00"
"5","Data Center","true","2026-07-12T05:29:48.399683+00:00"
"6","Corporate Affair","true","2026-07-12T05:29:48.399683+00:00"
"7","Premium Asset","true","2026-07-12T05:29:48.399683+00:00"
"8","Implementation","true","2026-07-12T05:29:48.399683+00:00"
"9","MTN","true","2026-07-12T05:29:48.399683+00:00"
"10","OFP","true","2026-07-12T05:29:48.399683+00:00"
"11","CCS","true","2026-07-12T05:29:48.399683+00:00"
"12","DPO","true","2026-07-12T05:29:48.399683+00:00"
"13","IT Infra","true","2026-07-12T05:29:48.399683+00:00"
"14","Safety JTS","true","2026-07-12T05:29:48.399683+00:00"
"15","คณะทำงานและ DPO","true","2026-07-12T05:29:48.399683+00:00"
"16","บัญชี","true","2026-07-12T05:29:48.399683+00:00"
