"id","title","law_id","law_code","authority","responsible","format","retention","category","timeline_text","trigger_type","recurrence","offset_days","event_date","next_due_date","notify_days_before","last_submitted_at","file_reference","note","created_at","updated_at"
"2","แบบบัญชีรายชื่อสารเคมีอันตราย (สอ.1)",,,"สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","2 ปี","สารเคมี","ปีละ 1 ครั้ง ภายใน 31 มกราคม ของทุกปี","fixed","annually",,,"2027-01-31","45",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"3","รายงานการใช้พลังงานประจำปี",,,"กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน",,"เอกสาร",,"การควบคุมพลังงานและเชื้อเพลิง","ภายในเดือนมีนาคม ของปีถัดไป","fixed","annually",,,"2027-03-31","45",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"4","เอกสารรับรองความปลอดภัยของระบบและอุปกรณ์ไฟฟ้า","54","LB-019","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","เจ้าของพื้นที่ และ จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การตรวจสอบระบบไฟฟ้า","ปีละ 1 ครั้ง (ยื่นภายใน 30 วันนับแต่วันที่ตรวจสอบ ทาง e-Service)","event","annually","30",,,"30",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"5","แบบแจ้งขึ้นทะเบียน จป. ระดับวิชาชีพ","24","LA-025","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัยฯ","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","event","asneeded","30",,,"14",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"6","แบบแจ้งขึ้นทะเบียน จป. ระดับหัวหน้างาน","24","LA-025","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัยฯ","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","event","asneeded","30",,,"14",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"7","แบบแจ้งขึ้นทะเบียน จป. ระดับบริหาร","24","LA-025","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัยฯ","ภายใน 30 วัน นับแต่วันที่ได้รับการแต่งตั้ง","event","asneeded","30",,,"14",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"8","แบบแจ้งขึ้นทะเบียนคณะกรรมการความปลอดภัยฯ (คปอ.)","7","LA-007","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","2 ปี นับจากพ้นวาระ","การบริหารจัดการความปลอดภัยฯ","ส่งสำเนาคำสั่งแต่งตั้งภายใน 15 วันนับแต่วันที่มีคำสั่ง","event","asneeded","15",,,"7",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"9","รายงานการตรวจวัดและวิเคราะห์สภาวะการทำงาน (ความร้อน/แสง/เสียง)","69","LD-001","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การตรวจวัดสภาพแวดล้อมในการทำงาน","ภายใน 30 วันนับแต่วันที่ตรวจวัด","event","annually","30",,,"14",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"10","แบบรายงานผลการฝึกซ้อมดับเพลิงและฝึกซ้อมหนีไฟ","62","LC-005","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การฝึกซ้อมดับเพลิงและอพยพหนีไฟ","ปีละ 1 ครั้ง ยื่นภายใน 30 วันนับแต่วันเสร็จสิ้นการฝึกซ้อม","event","annually","30",,,"14",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"11","แบบแจ้งการเกิดอุบัติภัยร้ายแรง / ประสบอันตรายจากการทำงาน (สปร.5)","4","LA-004","สนง.สวัสดิการและคุ้มครองแรงงาน จ.นนทบุรี","จป. วิชาชีพ","เอกสาร / E-Service","2 ปี","การเกิดอุบัติเหตุร้ายแรง","แจ้งภายใน 7 วันนับแต่วันที่ทราบ","event","asneeded","7",,,"3",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"12","แบบแจ้งการประสบอันตราย เจ็บป่วย หรือสูญหาย (กท.16/กท.44)","4","LA-004","สนง.ประกันสังคม / สนง.สวัสดิการฯ จ.นนทบุรี","จป. วิชาชีพ","เอกสาร","2 ปี","การเกิดอุบัติเหตุร้ายแรง","แจ้งภายใน 15 วัน","event","asneeded","15",,,"5",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"13","รายงานผลการฝึกอบรม/พัฒนาความรู้ จป. (เทคนิค/เทคนิคขั้นสูง/วิชาชีพ)","10","LA-010","สนง.สวัสดิการและคุ้มครองแรงงาน","จป. วิชาชีพ","เอกสาร / E-Service","3 ปี","การบริหารจัดการความปลอดภัยฯ","แจ้งภายใน 30 วันนับแต่ดำเนินการเสร็จสิ้น (ปีละไม่น้อยกว่า 12 ชม.)","event","annually","30",,,"30",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
"14","ใบแจ้งการประกอบกิจการควบคุมประเภทที่ 2 (ธพ.ป.1)",,,"เทศบาลนครปากเกร็ด (อบต.)","หน่วยงานควบคุมการใช้น้ำมัน และ จป. วิชาชีพ","เอกสาร","ตลอดอายุการใช้งาน","การควบคุมพลังงานและเชื้อเพลิง","ยื่นครั้งเดียว และเมื่อมีการเปลี่ยนแปลงปริมาณ","event","once","0",,,"30",,,,"2026-06-18T09:50:01.435791+00:00","2026-06-18T09:50:01.435791+00:00"
