"id","law_id","seq","text","status","responsible","frequency","documents","note","evaluated_by","evaluated_at","evidence_url","evidence_label","from_related_law","from_law_url","from_law_confidence","ref_answers"
"494","132","0","ให้คงเก็บภาษีมูลค่าเพิ่มในอัตราร้อยละ 6.3 สำหรับการขายสินค้า การให้บริการ หรือการนำเข้าทุกกรณี ซึ่งความรับผิดในการเสียภาษีมูลค่าเพิ่มเกิดขึ้นตั้งแต่วันที่ 1 ตุลาคม 2560 ถึงวันที่ 30 กันยายน 2568","met",,,,,,,,,,,,"[]"
"501","139","0","ให้คงเก็บภาษีมูลค่าเพิ่มในอัตราร้อยละ 6.3 สำหรับการขายสินค้า การให้บริการ หรือการนำเข้าทุกกรณี ตั้งแต่วันที่ 1 ตุลาคม 2560 ถึงวันที่ 30 กันยายน 2569

*อธิบายเพิ่มเติม	การเก็บภาษีมูลค่าเพิ่ม จะมีภาษีท้องถิ่นอีก 0.7% จึงรวมแล้วเป็น 7%","met",,,,,,,,,,,,"[]"
"495","133","0","ให้ดำเนินการจัดเก็บเงินสะสมและเงินสมทบกองทุนสงเคราะห์ลูกจ้างตั้งแต่วันที่ 1 ตุลาคม 2568 เป็นต้นไป","met",,,,,,,,,,,,"[]"
"502","140","0","กำหนดให้หน่วยงานที่มีภารกิจหรือเป็นผู้ให้บริการโทรคมนาคมระหว่างประเทศผ่านโครงข่ายภาคพื้นดินและภาคพื้นน้ำ เป็นหน่วยงานโครงสร้างพื้นฐานสำคัญทางสารสนเทศ ซึ่งต้องอยู่ภายใต้การกำกับดูแลของสำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ","met",,,,,,,,,,,,"[]"
"525","1235","0","ข้อ ๓ ให้นายจ้างจัดให้มีข้อบังคับและคู่มือว่าด้วยความปลอดภัยในการทำงานไว้ในสถานประกอบกิจการ","met","Safety","Annual","คู่มือความปลอดภัย อาชีวอนามัย และสภาพแวดบ้อมในการทำงานของบริษัท",,,,,,,,,"[]"
"526","1235","1","ข้อ ๔ ให้นายจ้างซึ่งมีผู้รับเหมาชั้นต้นหรือผู้รับเหมาช่วงเข้ามาปฏิบัติงานในสถานประกอบกิจการ จัดให้มีข้อบังคับและคู่มือตามข้อ ๓","met","Safety","Annual","จัดหลักสูตรอบรมโดยทีม QA & Training",,,,,,,,,"[]"
"527","1235","2","ข้อ ๕ ให้นายจ้างจัดการอบรมลูกจ้างให้มีความรู้เกี่ยวกับข้อบังคับและคู่มือตามข้อ ๓ ก่อนการปฏิบัติงาน","met","Safety","Annual","จัดหลักสูตรอบรมโดยทีม QA & Training",,,,,,,,,"[]"
"528","1235","3","ข้อ ๗ ให้นายจ้างในสถานประกอบกิจการที่มีลูกจ้างตั้งแต่ยี่สิบคนขึ้นไป แต่งตั้งลูกจ้างระดับหัวหน้างาน","met","Safety","Annual","ประกาศแต่งตั้ง จป.หัวหน้างาน",,,,,,,,,"[]"
"529","1236","0","ข้อ ๑๖ ให้นายจ้างในสถานประกอบกิจการที่มีลูกจ้างตั้งแต่หนึ่งร้อยคนขึ้นไป แต่งตั้งลูกจ้างเป็นเจ้าหน้าที่ความปลอดภัยในการทำงานระดับวิชาชีพประจำสถานประกอบกิจการอย่างน้อยหนึ่งคน เพื่อปฏิบัติงานเฉพาะด้านความปลอดภัย","met","Safety","Annual","ประกาศแต่งตั้ง จป.วิชาชีพ",,,,,,,,,"[]"
"530","1236","1","ข้อ ๑๙ ให้นายจ้างในสถานประกอบกิจการที่มีลูกจ้างตั้งแต่ยี่สิบคนขึ้นไป แต่งตั้งลูกจ้างระดับบริหารทุกคนเป็นเจ้าหน้าที่ความปลอดภัยในการทำงานระดับบริหารของสถานประกอบกิจการ","met","Safety","Annual","ประกาศแต่งตั้ง จป.บริหาร",,,,,,,,,"[]"
"531","1236","2","ข้อ ๒๓ สถานประกอบกิจการที่มีลูกจ้างตั้งแต่หนึ่งร้อยคนขึ้นไปแต่ไม่ถึงห้าร้อยคน ให้มีกรรมการไม่น้อยกว่าเจ็ดคน ประกอบด้วย นายจ้างหรือผู้แทนนายจ้างระดับบริหาร เป็นประธานกรรมการผู้แทนนายจ้างระดับบังคับบัญชาสองคนและผู้แทนลูกจ้างสามคน เป็นกรรมการ โดยมีเจ้าหน้าที่ความปลอดภัยในการทำงานระดับวิชาชีพ เป็นกรรมการและเลขานุการ","met","Safety","Annual","ประกาศแต่งตั้ง คปอ.",,,,,,,,,"[]"
